dateTime,open,high,low,close,volume
2020-08-18 00:00:00,2.09000000,4.44000000,2.00000000,3.10000000,6039881.97000000
2020-08-19 00:00:00,3.10000000,3.19990000,2.64000000,2.95000000,15895774.92000000
2020-08-20 00:00:00,2.94490000,3.11110000,2.60000000,2.90000000,11040863.60000000
2020-08-21 00:00:00,2.89780000,3.09000000,2.68260000,2.83300000,9765153.74000000
2020-08-22 00:00:00,2.83870000,4.55000000,2.78200000,4.45460000,41611476.51000000
2020-08-23 00:00:00,4.47560000,4.48640000,3.70320000,3.97790000,23845309.65000000
2020-08-24 00:00:00,3.98050000,4.79830000,3.78000000,4.57590000,25843953.12000000
2020-08-25 00:00:00,4.57590000,5.77000000,4.48000000,5.54120000,39457369.99000000
2020-08-26 00:00:00,5.54120000,6.57000000,5.10150000,6.07080000,37811519.74000000
2020-08-27 00:00:00,6.07080000,6.80000000,5.20010000,5.65470000,42626336.42000000
2020-08-28 00:00:00,5.65690000,6.35000000,5.46200000,6.18120000,24019172.63000000
2020-08-29 00:00:00,6.17690000,6.55600000,6.00320000,6.13330000,15360444.96000000
2020-08-30 00:00:00,6.13390000,6.25100000,5.69990000,5.89120000,13266535.91000000
2020-08-31 00:00:00,5.88750000,6.46620000,5.75410000,6.27180000,13564047.71000000
2020-09-01 00:00:00,6.27120000,6.86190000,6.12000000,6.23900000,16330264.82000000
2020-09-02 00:00:00,6.24000000,6.44720000,5.58000000,6.13740000,15500500.04000000
2020-09-03 00:00:00,6.13750000,6.33250000,5.54710000,5.67430000,21239867.51000000
2020-09-04 00:00:00,5.67430000,5.99000000,4.50000000,5.10190000,28314850.39000000
2020-09-05 00:00:00,5.09870000,5.31470000,3.53210000,4.14560000,32791302.31000000
2020-09-06 00:00:00,4.14560000,4.92100000,3.72980000,4.78400000,23608694.54000000
2020-09-07 00:00:00,4.78490000,4.83670000,4.00100000,4.59440000,16089613.82000000
2020-09-08 00:00:00,4.59670000,4.63390000,4.10670000,4.27870000,10449746.70000000
2020-09-09 00:00:00,4.26570000,4.79350000,4.07700000,4.70030000,11225976.14000000
2020-09-10 00:00:00,4.70030000,4.88940000,4.43080000,4.57960000,9912392.07000000
2020-09-11 00:00:00,4.57810000,4.75000000,4.31000000,4.64980000,9013005.18000000
2020-09-12 00:00:00,4.64330000,5.29600000,4.49980000,5.13850000,12566058.18000000
2020-09-13 00:00:00,5.13790000,5.47710000,4.76680000,5.32130000,16262645.74000000
2020-09-14 00:00:00,5.31980000,5.57610000,5.09110000,5.35550000,14288009.60000000
2020-09-15 00:00:00,5.35970000,5.45000000,5.01200000,5.05350000,10306445.21000000
2020-09-16 00:00:00,5.05350000,5.28000000,4.95780000,5.07120000,8102718.15000000
2020-09-17 00:00:00,5.07390000,5.42610000,5.04300000,5.33540000,10973999.33000000
2020-09-18 00:00:00,5.33130000,5.45500000,5.09390000,5.26160000,7241901.56000000
2020-09-19 00:00:00,5.25950000,5.26400000,4.78620000,4.92400000,6124417.44000000
2020-09-20 00:00:00,4.92050000,4.97070000,4.37150000,4.65180000,11400427.77000000
2020-09-21 00:00:00,4.65600000,4.69690000,3.91000000,4.06910000,18249034.01000000
2020-09-22 00:00:00,4.07000000,4.21030000,3.90000000,4.16250000,8023448.28000000
2020-09-23 00:00:00,4.16230000,4.32410000,3.94000000,4.00770000,9432617.01000000
2020-09-24 00:00:00,4.01280000,4.49000000,3.96160000,4.37820000,8363967.02000000
2020-09-25 00:00:00,4.37840000,4.52990000,4.24100000,4.41390000,6666492.08000000
2020-09-26 00:00:00,4.41390000,4.48190000,4.22400000,4.33080000,3890876.06000000
2020-09-27 00:00:00,4.33290000,4.36410000,4.11520000,4.29620000,3814327.15000000
2020-09-28 00:00:00,4.29990000,4.59390000,4.24740000,4.45010000,9835916.81000000
2020-09-29 00:00:00,4.45000000,4.61120000,4.33100000,4.49690000,7753017.85000000
2020-09-30 00:00:00,4.49700000,4.50000000,4.22880000,4.34580000,4418266.77000000
2020-10-01 00:00:00,4.34590000,4.58580000,4.23170000,4.34680000,7358246.56000000
2020-10-02 00:00:00,4.34270000,4.36210000,3.88820000,4.12820000,7748588.83000000
2020-10-03 00:00:00,4.12800000,4.13490000,4.02630000,4.06070000,3078936.51000000
2020-10-04 00:00:00,4.06060000,4.19900000,4.01110000,4.17700000,2792994.50000000
2020-10-05 00:00:00,4.17440000,4.25000000,4.10600000,4.16210000,4362181.16000000
2020-10-06 00:00:00,4.15890000,4.18000000,3.60600000,3.74650000,9256379.98000000
2020-10-07 00:00:00,3.74610000,3.89640000,3.60000000,3.85170000,8599075.85000000
2020-10-08 00:00:00,3.85380000,4.16250000,3.63330000,4.11630000,8531658.60000000
2020-10-09 00:00:00,4.11450000,4.35000000,4.00870000,4.25410000,6400372.85000000
2020-10-10 00:00:00,4.25460000,4.48900000,4.23000000,4.26060000,5182487.56000000
2020-10-11 00:00:00,4.25790000,4.33550000,4.16830000,4.24500000,3675666.58000000
2020-10-12 00:00:00,4.24640000,4.45010000,4.18990000,4.30750000,6228123.12000000
2020-10-13 00:00:00,4.30990000,4.34640000,4.13020000,4.24730000,4643179.26000000
2020-10-14 00:00:00,4.25150000,4.37950000,4.08360000,4.18290000,5239195.66000000
2020-10-15 00:00:00,4.18160000,4.18730000,4.02000000,4.09900000,3826663.78000000
2020-10-16 00:00:00,4.09900000,4.15620000,3.80000000,3.91060000,5544038.18000000
2020-10-17 00:00:00,3.91320000,3.97990000,3.86070000,3.96630000,1738606.63000000
2020-10-18 00:00:00,3.96520000,4.12500000,3.95400000,4.10680000,2456005.50000000
2020-10-19 00:00:00,4.10700000,4.12290000,3.95010000,3.98600000,2740611.47000000
2020-10-20 00:00:00,3.98430000,4.14900000,3.86410000,3.90340000,5741108.49000000
2020-10-21 00:00:00,3.90340000,4.26000000,3.89070000,4.13520000,7288864.80000000
2020-10-22 00:00:00,4.13290000,4.33800000,4.12340000,4.26830000,5757990.79000000
2020-10-23 00:00:00,4.26960000,4.48000000,4.18500000,4.26330000,8353056.52000000
2020-10-24 00:00:00,4.26400000,4.43000000,4.23810000,4.35360000,4486543.97000000
2020-10-25 00:00:00,4.35000000,4.44950000,4.25880000,4.33100000,4100261.59000000
2020-10-26 00:00:00,4.33150000,4.74750000,4.29060000,4.70310000,11305772.22000000
2020-10-27 00:00:00,4.70640000,4.95000000,4.64290000,4.67210000,10646881.65000000
2020-10-28 00:00:00,4.67230000,4.78000000,4.25200000,4.35700000,9278337.14000000
2020-10-29 00:00:00,4.35690000,4.41150000,3.84690000,4.06050000,10671185.96000000
2020-10-30 00:00:00,4.06050000,4.16200000,3.91530000,4.08450000,7322005.17000000
2020-10-31 00:00:00,4.08430000,4.28200000,4.05740000,4.18540000,3270318.58000000
2020-11-01 00:00:00,4.18330000,4.22500000,4.10790000,4.22110000,2456433.20000000
2020-11-02 00:00:00,4.22110000,4.26270000,3.96000000,4.03160000,5197343.74000000
2020-11-03 00:00:00,4.02720000,4.06940000,3.88420000,4.03620000,5133339.46000000
2020-11-04 00:00:00,4.03770000,4.15560000,3.89150000,4.09690000,7425623.62000000
2020-11-05 00:00:00,4.09880000,4.30000000,4.01050000,4.22290000,6288599.56000000
2020-11-06 00:00:00,4.22480000,4.64000000,4.20200000,4.58260000,8938274.32000000
